run,save,mode,metric,value,deltaVsMainVrBalancedMedian,deltaVsOriginal
Current R3,10,DLAA,cpuSpikeGroups.dutyPercent,27.68,-1.1000000000000014,27.68
Current R1,10,DLAA,gpuSpikeGroups.dutyPercent,0.0,0.0,-0.17
Current R2,10,DLAA,gpuSpikeGroups.dutyPercent,0.0,0.0,-0.17
Current interrupted,10,DLAA,gpuSpikeGroups.dutyPercent,0.0,0.0,-0.17
Current R3,10,DLAA,gpuSpikeGroups.dutyPercent,0.0,0.0,-0.17
Current R1,10,DLAA,cpuSpikeGroups.maxGroupSamples,2.0,0.0,2.0
Current R2,10,DLAA,cpuSpikeGroups.maxGroupSamples,2.0,0.0,2.0
Current interrupted,10,DLAA,cpuSpikeGroups.maxGroupSamples,2.0,0.0,2.0
Current R3,10,DLAA,cpuSpikeGroups.maxGroupSamples,2.0,0.0,2.0
Current R1,10,DLAA,gpuSpikeGroups.maxGroupSamples,0,0,-1.0
Current R2,10,DLAA,gpuSpikeGroups.maxGroupSamples,0,0,-1.0
Current interrupted,10,DLAA,gpuSpikeGroups.maxGroupSamples,0,0,-1.0
Current R3,10,DLAA,gpuSpikeGroups.maxGroupSamples,0,0,-1.0
Current R1,11,DLSS,cpuTailMeanMs,8.504,-0.2740000000000009,0.7199999999999998
Current R2,11,DLSS,cpuTailMeanMs,8.641,-0.13700000000000045,0.8570000000000002
Current interrupted,11,DLSS,cpuTailMeanMs,9.198,0.41999999999999993,1.4140000000000006
Current R3,11,DLSS,cpuTailMeanMs,8.957,0.17900000000000027,1.173000000000001
Current R1,11,DLSS,gpuTailMeanMs,8.154,-0.04100000000000037,0.31899999999999995
Current R2,11,DLSS,gpuTailMeanMs,8.227,0.03200000000000003,0.39200000000000035
Current interrupted,11,DLSS,gpuTailMeanMs,8.037,-0.15799999999999947,0.20200000000000085
Current R3,11,DLSS,gpuTailMeanMs,8.288,0.09299999999999997,0.4530000000000003
Current R1,11,DLSS,cpuTailP95Ms,12.5,0.09999999999999964,1.0
Current R2,11,DLSS,cpuTailP95Ms,12.785,0.3849999999999998,1.2850000000000001
Current interrupted,11,DLSS,cpuTailP95Ms,14.8,2.4000000000000004,3.3000000000000007
Current R3,11,DLSS,cpuTailP95Ms,13.02,0.6199999999999992,1.5199999999999996
Current R1,11,DLSS,cpuTailP99Ms,16.2,0.46799999999999997,1.0
Current R2,11,DLSS,cpuTailP99Ms,16.714,0.9819999999999993,1.5139999999999993
Current interrupted,11,DLSS,cpuTailP99Ms,20.302,4.57,5.102
Current R3,11,DLSS,cpuTailP99Ms,17.104,1.3719999999999999,1.904
Current R1,11,DLSS,gpuTailP95Ms,8.5,-0.1999999999999993,0.0
Current R2,11,DLSS,gpuTailP95Ms,8.8,0.10000000000000142,0.3000000000000007
Current interrupted,11,DLSS,gpuTailP95Ms,9.77,1.0700000000000003,1.2699999999999996
Current R3,11,DLSS,gpuTailP95Ms,8.92,0.22000000000000064,0.41999999999999993
Current R1,11,DLSS,gpuTailP99Ms,12.12,1.2879999999999985,2.2139999999999986
Current R2,11,DLSS,gpuTailP99Ms,12.914,2.081999999999999,3.007999999999999
Current interrupted,11,DLSS,gpuTailP99Ms,15.334,4.501999999999999,5.427999999999999
